methodName,doc,parentName,parsedAPIReferenceUrl,pythonReferenceUrl
key_value_store,"Retrieve the sub-client for manipulating a single key-value store.

Args:
    key_value_store_id (str): ID of the key-value store to be manipulated",ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#key_value_store
key_value_stores,Retrieve the sub-client for manipulating key-value stores.,ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#key_value_stores
request_queue,"Retrieve the sub-client for manipulating a single request queue.

Args:
    request_queue_id (str): ID of the request queue to be manipulated
    client_key (str): A unique identifier of the client accessing the request queue",ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#request_queue
request_queues,Retrieve the sub-client for manipulating request queues.,ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#request_queues
webhook,"Retrieve the sub-client for manipulating a single webhook.

Args:
    webhook_id (str): ID of the webhook to be manipulated",ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#webhook
webhooks,Retrieve the sub-client for querying multiple webhooks of a user.,ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#webhooks
webhook_dispatch,"Retrieve the sub-client for accessing a single webhook dispatch.

Args:
    webhook_dispatch_id (str): ID of the webhook dispatch to access",ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#webhook_dispatch
webhook_dispatches,Retrieve the sub-client for querying multiple webhook dispatches of a user.,ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#webhook_dispatches
schedule,"Retrieve the sub-client for manipulating a single schedule.

Args:
    schedule_id (str): ID of the schedule to be manipulated",ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#schedule
schedules,Retrieve the sub-client for manipulating schedules.,ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#schedules
log,"Retrieve the sub-client for retrieving logs.

Args:
    build_or_run_id (str): ID of the actor build or run for which to access the log",ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#log
task,"Retrieve the sub-client for manipulating a single task.

Args:
    task_id (str): ID of the task to be manipulated",ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#task
tasks,Retrieve the sub-client for manipulating tasks.,ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#tasks
user,"Retrieve the sub-client for querying users.

Args:
    user_id (str, optional): ID of user to be queried. If None, queries the user belonging to the token supplied to the client",ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#user
store,Retrieve the sub-client for Apify store.,ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#store
__init__,"Initialize the sub-client.

Args:
    base_url (str): Base URL of the API server
    root_client (ApifyClient): The ApifyClient instance under which this resource client exists
    http_client (HTTPClient): The HTTPClient instance to be used in this client
    resource_id (str): ID of the manipulated resource, in case of a single-resource client
    resource_path (str): Path to the resource's endpoint on the API server
    params (dict): Parameters to include in all requests from this client",BaseClient,,https://docs.apify.com/api/client/python/reference/class/BaseClient#__init__
__init__,"Initialize the sub-client.

Args:
    base_url (str): Base URL of the API server
    root_client (ApifyClientAsync): The ApifyClientAsync instance under which this resource client exists
    http_client (HTTPClientAsync): The HTTPClientAsync instance to be used in this client
    resource_id (str): ID of the manipulated resource, in case of a single-resource client
    resource_path (str): Path to the resource's endpoint on the API server
    params (dict): Parameters to include in all requests from this client",BaseClientAsync,,https://docs.apify.com/api/client/python/reference/class/BaseClientAsync#__init__
get_actor_representation,Get dictionary representation of the Actor.,apify_client.clients.resource_clients.actor,,https://docs.apify.com/api/client/python/reference/class/apify_client.clients.resource_clients.actor#get_actor_representation
__init__,Initialize the ActorClient.,ActorClient,,https://docs.apify.com/api/client/python/reference/class/ActorClient#__init__
get,"Retrieve the actor.

https://docs.apify.com/api/v2#/reference/actors/actor-object/get-actor

Returns:
    dict, optional: The retrieved actor",ActorClient,https://docs.apify.com/api/v2#/reference/actors/actor-object/get-actor,https://docs.apify.com/api/client/python/reference/class/ActorClient#get
update,"Update the actor with the specified fields.

https://docs.apify.com/api/v2#/reference/actors/actor-object/update-actor

Args:
    name (str, optional): The name of the actor
    title (str, optional): The title of the actor (human-readable)
    description (str, optional): The description for the actor
    seo_title (str, optional): The title of the actor optimized for search engines
    seo_description (str, optional): The description of the actor optimized for search engines
    versions (list of dict, optional): The list of actor versions
    restart_on_error (bool, optional): If true, the main actor run process will be restarted whenever it exits with a non-zero status code.
    is_public (bool, optional): Whether the actor is public.
    is_deprecated (bool, optional): Whether the actor is deprecated.
    is_anonymously_runnable (bool, optional): Whether the actor is anonymously runnable.
    categories (list of str, optional): The categories to which the actor belongs to.
    default_run_build (str, optional): Tag or number of the build that you want to run by default.
    default_run_max_items (int, optional): Default limit of the number of results that will be returned by runs of this Actor,
                                           if the Actor is charged per result.
    default_run_memory_mbytes (int, optional): Default amount of memory allocated for the runs of this actor, in megabytes.
    default_run_timeout_secs (int, optional): Default timeout for the runs of this actor in seconds.
    example_run_input_body (Any, optional): Input to be prefilled as default input to new users of this actor.
    example_run_input_content_type (str, optional): The content type of the example run input.

Returns:
    dict: The updated actor",ActorClient,https://docs.apify.com/api/v2#/reference/actors/actor-object/update-actor,https://docs.apify.com/api/client/python/reference/class/ActorClient#update
delete,"Delete the actor.

https://docs.apify.com/api/v2#/reference/actors/actor-object/delete-actor",ActorClient,,https://docs.apify.com/api/client/python/reference/class/ActorClient#delete
start,"Start the actor and immediately return the Run object.

https://docs.apify.com/api/v2#/reference/actors/run-collection/run-actor

Args:
    run_input (Any, optional): The input to pass to the actor run.
    content_type (str, optional): The content type of the input.
    build (str, optional): Specifies the actor build to run. It can be either a build tag or build number.
                           By default, the run uses the build specified in the default run configuration for the actor (typically latest).
    max_items (int, optional): Maximum number of results that will be returned by this run.
                               If the Actor is charged per result, you will not be charged for more results than the given limit.
    memory_mbytes (int, optional): Memory limit for the run, in megabytes.
                                   By default, the run uses a memory limit specified in the default run configuration for the actor.
    timeout_secs (int, optional): Optional timeout for the run, in seconds.
                                  By default, the run uses timeout specified in the default run configuration for the actor.
    wait_for_finish (int, optional): The maximum number of seconds the server waits for the run to finish.
                                       By default, it is 0, the maximum value is 60.
    webhooks (list of dict, optional): Optional ad-hoc webhooks (https://docs.apify.com/webhooks/ad-hoc-webhooks)
                                       associated with the actor run which can be used to receive a notification,
                                       e.g. when the actor finished or failed.
                                       If you already have a webhook set up for the actor or task, you do not have to add it again here.
                                       Each webhook is represented by a dictionary containing these items:
                                       * ``event_types``: list of ``WebhookEventType`` values which trigger the webhook
                                       * ``request_url``: URL to which to send the webhook HTTP request
                                       * ``payload_template`` (optional): Optional template for the request payload

Returns:
    dict: The run object",ActorClient,https://docs.apify.com/api/v2#/reference/actors/run-collection/run-actor,https://docs.apify.com/api/client/python/reference/class/ActorClient#start
call,"Start the actor and wait for it to finish before returning the Run object.

It waits indefinitely, unless the wait_secs argument is provided.

https://docs.apify.com/api/v2#/reference/actors/run-collection/run-actor

Args:
    run_input (Any, optional): The input to pass to the actor run.
    content_type (str, optional): The content type of the input.
    build (str, optional): Specifies the actor build to run. It can be either a build tag or build number.
                           By default, the run uses the build specified in the default run configuration for the actor (typically latest).
    max_items (int, optional): Maximum number of results that will be returned by this run.
                               If the Actor is charged per result, you will not be charged for more results than the given limit.
    memory_mbytes (int, optional): Memory limit for the run, in megabytes.
                                   By default, the run uses a memory limit specified in the default run configuration for the actor.
    timeout_secs (int, optional): Optional timeout for the run, in seconds.
                                  By default, the run uses timeout specified in the default run configuration for the actor.
    webhooks (list, optional): Optional webhooks (https://docs.apify.com/webhooks) associated with the actor run,
                               which can be used to receive a notification, e.g. when the actor finished or failed.
                               If you already have a webhook set up for the actor, you do not have to add it again here.
    wait_secs (int, optional): The maximum number of seconds the server waits for the run to finish. If not provided, waits indefinitely.

Returns:
    dict: The run object",ActorClient,https://docs.apify.com/api/v2#/reference/actors/run-collection/run-actor,https://docs.apify.com/api/client/python/reference/class/ActorClient#call
build,"Build the actor.

https://docs.apify.com/api/v2#/reference/actors/build-collection/build-actor

Args:
    version_number (str): Actor version number to be built.
    beta_packages (bool, optional): If True, then the actor is built with beta versions of Apify NPM packages.
                                    By default, the build uses latest stable packages.
    tag (str, optional): Tag to be applied to the build on success. By default, the tag is taken from the actor version's buildTag property.
    use_cache (bool, optional): If true, the actor's Docker container will be rebuilt using layer cache
                                (https://docs.docker.com/develop/develop-images/dockerfile_best-practices/`leverage`-build-cache).
                                This is to enable quick rebuild during development.
                                By default, the cache is not used.
    wait_for_finish (int, optional): The maximum number of seconds the server waits for the build to finish before returning.
                                     By default it is 0, the maximum value is 60.

Returns:
    dict: The build object",ActorClient,https://docs.apify.com/api/v2#/reference/actors/build-collection/build-actor,https://docs.apify.com/api/client/python/reference/class/ActorClient#build
builds,Retrieve a client for the builds of this actor.,ActorClient,,https://docs.apify.com/api/client/python/reference/class/ActorClient#builds
runs,Retrieve a client for the runs of this actor.,ActorClient,,https://docs.apify.com/api/client/python/reference/class/ActorClient#runs
last_run,"Retrieve the client for the last run of this actor.

Last run is retrieved based on the start time of the runs.

Args:
    status (ActorJobStatus, optional): Consider only runs with this status.
    origin (MetaOrigin, optional): Consider only runs started with this origin.

Returns:
    RunClient: The resource client for the last run of this actor.",ActorClient,,https://docs.apify.com/api/client/python/reference/class/ActorClient#last_run
versions,Retrieve a client for the versions of this actor.,ActorClient,,https://docs.apify.com/api/client/python/reference/class/ActorClient#versions
version,"Retrieve the client for the specified version of this actor.

Args:
    version_number (str): The version number for which to retrieve the resource client.

Returns:
    ActorVersionClient: The resource client for the specified actor version.",ActorClient,,https://docs.apify.com/api/client/python/reference/class/ActorClient#version
webhooks,Retrieve a client for webhooks associated with this actor.,ActorClient,,https://docs.apify.com/api/client/python/reference/class/ActorClient#webhooks
__init__,Initialize the ActorClientAsync.,ActorClientAsync,,https://docs.apify.com/api/client/python/reference/class/ActorClientAsync#__init__
get,"Retrieve the actor.

https://docs.apify.com/api/v2#/reference/actors/actor-object/get-actor

Returns:
    dict, optional: The retrieved actor",ActorClientAsync,https://docs.apify.com/api/v2#/reference/actors/actor-object/get-actor,https://docs.apify.com/api/client/python/reference/class/ActorClientAsync#get
update,"Update the actor with the specified fields.

https://docs.apify.com/api/v2#/reference/actors/actor-object/update-actor

Args:
    name (str, optional): The name of the actor
    title (str, optional): The title of the actor (human-readable)
    description (str, optional): The description for the actor
    seo_title (str, optional): The title of the actor optimized for search engines
    seo_description (str, optional): The description of the actor optimized for search engines
    versions (list of dict, optional): The list of actor versions
    restart_on_error (bool, optional): If true, the main actor run process will be restarted whenever it exits with a non-zero status code.
    is_public (bool, optional): Whether the actor is public.
    is_deprecated (bool, optional): Whether the actor is deprecated.
    is_anonymously_runnable (bool, optional): Whether the actor is anonymously runnable.
    categories (list of str, optional): The categories to which the actor belongs to.
    default_run_build (str, optional): Tag or number of the build that you want to run by default.
    default_run_max_items (int, optional): Default limit of the number of results that will be returned by runs of this Actor,
                                           if the Actor is charged per result.
    default_run_memory_mbytes (int, optional): Default amount of memory allocated for the runs of this actor, in megabytes.
    default_run_timeout_secs (int, optional): Default timeout for the runs of this actor in seconds.
    example_run_input_body (Any, optional): Input to be prefilled as default input to new users of this actor.
    example_run_input_content_type (str, optional): The content type of the example run input.

Returns:
    dict: The updated actor",ActorClientAsync,https://docs.apify.com/api/v2#/reference/actors/actor-object/update-actor,https://docs.apify.com/api/client/python/reference/class/ActorClientAsync#update
delete,"Delete the actor.

https://docs.apify.com/api/v2#/reference/actors/actor-object/delete-actor",ActorClientAsync,,https://docs.apify.com/api/client/python/reference/class/ActorClientAsync#delete
start,"Start the actor and immediately return the Run object.

https://docs.apify.com/api/v2#/reference/actors/run-collection/run-actor

Args:
    run_input (Any, optional): The input to pass to the actor run.
    content_type (str, optional): The content type of the input.
    build (str, optional): Specifies the actor build to run. It can be either a build tag or build number.
                           By default, the run uses the build specified in the default run configuration for the actor (typically latest).
    max_items (int, optional): Maximum number of results that will be returned by this run.
                               If the Actor is charged per result, you will not be charged for more results than the given limit.
    memory_mbytes (int, optional): Memory limit for the run, in megabytes.
                                   By default, the run uses a memory limit specified in the default run configuration for the actor.
    timeout_secs (int, optional): Optional timeout for the run, in seconds.
                                  By default, the run uses timeout specified in the default run configuration for the actor.
    wait_for_finish (int, optional): The maximum number of seconds the server waits for the run to finish.
                                       By default, it is 0, the maximum value is 60.
    webhooks (list of dict, optional): Optional ad-hoc webhooks (https://docs.apify.com/webhooks/ad-hoc-webhooks)
                                       associated with the actor run which can be used to receive a notification,
                                       e.g. when the actor finished or failed.
                                       If you already have a webhook set up for the actor or task, you do not have to add it again here.
                                       Each webhook is represented by a dictionary containing these items:
                                       * ``event_types``: list of ``WebhookEventType`` values which trigger the webhook
                                       * ``request_url``: URL to which to send the webhook HTTP request
                                       * ``payload_template`` (optional): Optional template for the request payload

Returns:
    dict: The run object",ActorClientAsync,https://docs.apify.com/api/v2#/reference/actors/run-collection/run-actor,https://docs.apify.com/api/client/python/reference/class/ActorClientAsync#start
call,"Start the actor and wait for it to finish before returning the Run object.

It waits indefinitely, unless the wait_secs argument is provided.

https://docs.apify.com/api/v2#/reference/actors/run-collection/run-actor

Args:
    run_input (Any, optional): The input to pass to the actor run.
    content_type (str, optional): The content type of the input.
    build (str, optional): Specifies the actor build to run. It can be either a build tag or build number.
                           By default, the run uses the build specified in the default run configuration for the actor (typically latest).
    max_items (int, optional): Maximum number of results that will be returned by this run.
                               If the Actor is charged per result, you will not be charged for more results than the given limit.
    memory_mbytes (int, optional): Memory limit for the run, in megabytes.
                                   By default, the run uses a memory limit specified in the default run configuration for the actor.
    timeout_secs (int, optional): Optional timeout for the run, in seconds.
                                  By default, the run uses timeout specified in the default run configuration for the actor.
    webhooks (list, optional): Optional webhooks (https://docs.apify.com/webhooks) associated with the actor run,
                               which can be used to receive a notification, e.g. when the actor finished or failed.
                               If you already have a webhook set up for the actor, you do not have to add it again here.
    wait_secs (int, optional): The maximum number of seconds the server waits for the run to finish. If not provided, waits indefinitely.

Returns:
    dict: The run object",ActorClientAsync,https://docs.apify.com/api/v2#/reference/actors/run-collection/run-actor,https://docs.apify.com/api/client/python/reference/class/ActorClientAsync#call
build,"Build the actor.

https://docs.apify.com/api/v2#/reference/actors/build-collection/build-actor

Args:
    version_number (str): Actor version number to be built.
    beta_packages (bool, optional): If True, then the actor is built with beta versions of Apify NPM packages.
                                    By default, the build uses latest stable packages.
    tag (str, optional): Tag to be applied to the build on success. By default, the tag is taken from the actor version's buildTag property.
    use_cache (bool, optional): If true, the actor's Docker container will be rebuilt using layer cache
                                (https://docs.docker.com/develop/develop-images/dockerfile_best-practices/`leverage`-build-cache).
                                This is to enable quick rebuild during development.
                                By default, the cache is not used.
    wait_for_finish (int, optional): The maximum number of seconds the server waits for the build to finish before returning.
                                     By default it is 0, the maximum value is 60.

Returns:
    dict: The build object",ActorClientAsync,https://docs.apify.com/api/v2#/reference/actors/build-collection/build-actor,https://docs.apify.com/api/client/python/reference/class/ActorClientAsync#build
builds,Retrieve a client for the builds of this actor.,ActorClientAsync,,https://docs.apify.com/api/client/python/reference/class/ActorClientAsync#builds
runs,Retrieve a client for the runs of this actor.,ActorClientAsync,,https://docs.apify.com/api/client/python/reference/class/ActorClientAsync#runs
last_run,"Retrieve the client for the last run of this actor.

Last run is retrieved based on the start time of the runs.

Args:
    status (ActorJobStatus, optional): Consider only runs with this status.
    origin (MetaOrigin, optional): Consider only runs started with this origin.

Returns:
    RunClientAsync: The resource client for the last run of this actor.",ActorClientAsync,,https://docs.apify.com/api/client/python/reference/class/ActorClientAsync#last_run
versions,Retrieve a client for the versions of this actor.,ActorClientAsync,,https://docs.apify.com/api/client/python/reference/class/ActorClientAsync#versions
version,"Retrieve the client for the specified version of this actor.

Args:
    version_number (str): The version number for which to retrieve the resource client.

Returns:
    ActorVersionClientAsync: The resource client for the specified actor version.",ActorClientAsync,,https://docs.apify.com/api/client/python/reference/class/ActorClientAsync#version
webhooks,Retrieve a client for webhooks associated with this actor.,ActorClientAsync,,https://docs.apify.com/api/client/python/reference/class/ActorClientAsync#webhooks
__init__,Initialize the RequestQueueCollectionClient with the passed arguments.,RequestQueueCollectionClient,,https://docs.apify.com/api/client/python/reference/class/RequestQueueCollectionClient#__init__
list,"List the available request queues.

https://docs.apify.com/api/v2#/reference/request-queues/queue-collection/get-list-of-request-queues

Args:
    unnamed (bool, optional): Whether to include unnamed request queues in the list
    limit (int, optional): How many request queues to retrieve
    offset (int, optional): What request queue to include as first when retrieving the list
    desc (bool, optional): Whether to sort therequest queues in descending order based on their modification date

Returns:
    ListPage: The list of available request queues matching the specified filters.",RequestQueueCollectionClient,https://docs.apify.com/api/v2#/reference/request-queues/queue-collection/get-list-of-request-queues,https://docs.apify.com/api/client/python/reference/class/RequestQueueCollectionClient#list
get_or_create,"Retrieve a named request queue, or create a new one when it doesn't exist.

https://docs.apify.com/api/v2#/reference/request-queues/queue-collection/create-request-queue

Args:
    name (str, optional): The name of the request queue to retrieve or create.

Returns:
    dict: The retrieved or newly-created request queue.",RequestQueueCollectionClient,https://docs.apify.com/api/v2#/reference/request-queues/queue-collection/create-request-queue,https://docs.apify.com/api/client/python/reference/class/RequestQueueCollectionClient#get_or_create
__init__,Initialize the RequestQueueCollectionClientAsync with the passed arguments.,RequestQueueCollectionClientAsync,,https://docs.apify.com/api/client/python/reference/class/RequestQueueCollectionClientAsync#__init__
list,"List the available request queues.

https://docs.apify.com/api/v2#/reference/request-queues/queue-collection/get-list-of-request-queues

Args:
    unnamed (bool, optional): Whether to include unnamed request queues in the list
    limit (int, optional): How many request queues to retrieve
    offset (int, optional): What request queue to include as first when retrieving the list
    desc (bool, optional): Whether to sort therequest queues in descending order based on their modification date

Returns:
    ListPage: The list of available request queues matching the specified filters.",RequestQueueCollectionClientAsync,https://docs.apify.com/api/v2#/reference/request-queues/queue-collection/get-list-of-request-queues,https://docs.apify.com/api/client/python/reference/class/RequestQueueCollectionClientAsync#list
get_or_create,"Retrieve a named request queue, or create a new one when it doesn't exist.

https://docs.apify.com/api/v2#/reference/request-queues/queue-collection/create-request-queue

Args:
    name (str, optional): The name of the request queue to retrieve or create.

Returns:
    dict: The retrieved or newly-created request queue.",RequestQueueCollectionClientAsync,https://docs.apify.com/api/v2#/reference/request-queues/queue-collection/create-request-queue,https://docs.apify.com/api/client/python/reference/class/RequestQueueCollectionClientAsync#get_or_create
__init__,Initialize the ActorEnvVarCollectionClient with the passed arguments.,ActorEnvVarCollectionClient,,https://docs.apify.com/api/client/python/reference/class/ActorEnvVarCollectionClient#__init__
list,"List the available actor environment variables.

https://docs.apify.com/api/v2#/reference/actors/environment-variable-collection/get-list-of-environment-variables

Returns:
    ListPage: The list of available actor environment variables.",ActorEnvVarCollectionClient,https://docs.apify.com/api/v2#/reference/actors/environment-variable-collection/get-list-of-environment-variables,https://docs.apify.com/api/client/python/reference/class/ActorEnvVarCollectionClient#list
create,"Create a new actor environment variable.

https://docs.apify.com/api/v2#/reference/actors/environment-variable-collection/create-environment-variable

Args:
    is_secret (bool, optional): Whether the environment variable is secret or not
    name (str): The name of the environment variable
    value (str): The value of the environment variable

Returns:
    dict: The created actor environment variable",ActorEnvVarCollectionClient,https://docs.apify.com/api/v2#/reference/actors/environment-variable-collection/create-environment-variable,https://docs.apify.com/api/client/python/reference/class/ActorEnvVarCollectionClient#create
__init__,Initialize the ActorEnvVarCollectionClientAsync with the passed arguments.,ActorEnvVarCollectionClientAsync,,https://docs.apify.com/api/client/python/reference/class/ActorEnvVarCollectionClientAsync#__init__
list,"List the available actor environment variables.

https://docs.apify.com/api/v2#/reference/actors/environment-variable-collection/get-list-of-environment-variables

Returns:
    ListPage: The list of available actor environment variables.",ActorEnvVarCollectionClientAsync,https://docs.apify.com/api/v2#/reference/actors/environment-variable-collection/get-list-of-environment-variables,https://docs.apify.com/api/client/python/reference/class/ActorEnvVarCollectionClientAsync#list
create,"Create a new actor environment variable.

https://docs.apify.com/api/v2#/reference/actors/environment-variable-collection/create-environment-variable

Args:
    is_secret (bool, optional): Whether the environment variable is secret or not
    name (str): The name of the environment variable
    value (str): The value of the environment variable

Returns:
    dict: The created actor environment variable",ActorEnvVarCollectionClientAsync,https://docs.apify.com/api/v2#/reference/actors/environment-variable-collection/create-environment-variable,https://docs.apify.com/api/client/python/reference/class/ActorEnvVarCollectionClientAsync#create
__init__,Initialize the ScheduleCollectionClient with the passed arguments.,ScheduleCollectionClient,,https://docs.apify.com/api/client/python/reference/class/ScheduleCollectionClient#__init__
list,"List the available schedules.

https://docs.apify.com/api/v2#/reference/schedules/schedules-collection/get-list-of-schedules

Args:
    limit (int, optional): How many schedules to retrieve
    offset (int, optional): What schedules to include as first when retrieving the list
    desc (bool, optional): Whether to sort the schedules in descending order based on their modification date

Returns:
    ListPage: The list of available schedules matching the specified filters.",ScheduleCollectionClient,https://docs.apify.com/api/v2#/reference/schedules/schedules-collection/get-list-of-schedules,https://docs.apify.com/api/client/python/reference/class/ScheduleCollectionClient#list
